"id","display_name","issn_l","count"
"https://openalex.org/S190629608","Algorithms","1999-4893",64
"https://openalex.org/S4210184905","SpringerBriefs in computer science","2191-5768",63
"https://openalex.org/S36033921","Journal of Intelligent Information Systems","0925-9902",63
"https://openalex.org/S900972176","Engineering Applications of Artificial Intelligence","0952-1976",61
"https://openalex.org/S2491565770","Big Data Research","2214-5796",61
"https://openalex.org/S235346","Wireless Communications and Mobile Computing","1530-8669",60
"https://openalex.org/S10134376","Sustainability","2071-1050",60
"https://openalex.org/S34838331","Future Internet","1999-5903",60
"https://openalex.org/S140556538","Applied Soft Computing","1568-4946",60
"https://openalex.org/S35593046","Computing","0010-485X",59
"https://openalex.org/S982029923","Synthesis lectures on data management","2153-5418",57
"https://openalex.org/S128754310","Applied Mechanics and Materials","1660-9336",57
"https://openalex.org/S4210195017","International Journal of Data Science and Analytics","2364-4168",57
"https://openalex.org/S20211220","Journal of Web Semantics","1570-8268",56
"https://openalex.org/S120683614","Security and Communication Networks","1939-0122",55
"https://openalex.org/S7560371","Information Fusion","1566-2535",55
"https://openalex.org/S2764955546","Journal of King Saud University - Computer and Information Sciences","1319-1578",55
"https://openalex.org/S4210172046","Smart innovation, systems and technologies","2190-3018",54
"https://openalex.org/S195231649","Entropy","1099-4300",54
"https://openalex.org/S184777250","IEEE Transactions on Industrial Informatics","1551-3203",54
"https://openalex.org/S131231701","ACM Transactions on the Web","1559-1131",53
"https://openalex.org/S44643521","The Computer Journal","0010-4620",53
"https://openalex.org/S37879656","Journal of Systems and Software","0164-1212",53
"https://openalex.org/S207319443","Complexity","1076-2787",52
"https://openalex.org/S4210174798","SN Computer Science","2661-8907",52
"https://openalex.org/S4210193905","ACM SIGARCH Computer Architecture News","0163-5964",52
"https://openalex.org/S50071195","ACM SIGOPS Operating Systems Review","0163-5980",51
"https://openalex.org/S414566","Pattern Recognition","0031-3203",50
"https://openalex.org/S65753830","Soft Computing","1432-7643",50
"https://openalex.org/S100835903","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","0278-0070",49
"https://openalex.org/S4210175523","IEEE Transactions on Neural Networks and Learning Systems","2162-237X",49
"https://openalex.org/S123019304","Neural Networks","0893-6080",48
"https://openalex.org/S199944782","IEEE Transactions on Pattern Analysis and Machine Intelligence","0162-8828",48
"https://openalex.org/S179157397","Journal of Intelligent & Fuzzy Systems","1064-1246",47
"https://openalex.org/S2498839158","Intelligent Data Analysis","1088-467X",47
"https://openalex.org/S24688465","Physica A Statistical Mechanics and its Applications","0378-4371",45
"https://openalex.org/S4210178049","PeerJ Computer Science","2376-5992",44
"https://openalex.org/S127660348","Journal of Systems Architecture","1383-7621",44
"https://openalex.org/S4210181446","International Journal of Geographical Information Systems","0269-3798",43
"https://openalex.org/S111872859","International Journal of Geographical Information Science","1365-8816",43
"https://openalex.org/S2764696622","AIP conference proceedings","0094-243X",43
"https://openalex.org/S4210219266","Studies in big data","2197-6511",41
"https://openalex.org/S62148650","Machine Learning","0885-6125",41
"https://openalex.org/S141020589","Journal of Computer and System Sciences","0022-0000",40
"https://openalex.org/S115004586","Computer Communications","0140-3664",40
"https://openalex.org/S4210185096","IFIP advances in information and communication technology","1868-4238",39
"https://openalex.org/S2496326734","IEEE Transactions on Emerging Topics in Computing","2168-6750",39
"https://openalex.org/S48031226","Journal of Ambient Intelligence and Humanized Computing","1868-5137",38
"https://openalex.org/S4210187660","ACM SIGMETRICS Performance Evaluation Review","0163-5999",38
"https://openalex.org/S148561398","Scientometrics","0138-9130",38
"https://openalex.org/S205899252","IEEE Internet Computing","1089-7801",38
"https://openalex.org/S148521650","International Journal of Parallel Programming","0885-7458",37
"https://openalex.org/S190787756","Symmetry","2073-8994",37
"https://openalex.org/S2505707916","Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery","1942-4795",36
"https://openalex.org/S23688054","IEEE Communications Surveys & Tutorials","1553-877X",36
"https://openalex.org/S8351582","IEEE Transactions on Software Engineering","0098-5589",36
"https://openalex.org/S4210191041","IEEE Transactions on Cybernetics","2168-2267",36
"https://openalex.org/S122814990","Artificial Intelligence Review","0269-2821",36
"https://openalex.org/S49967189","Wireless Personal Communications","0929-6212",36
"https://openalex.org/S4210218743","Science China Information Sciences","1869-1919",35
"https://openalex.org/S178238111","Mathematical Problems in Engineering","1024-123X",34
"https://openalex.org/S151820558","Pattern Recognition Letters","0167-8655",34
"https://openalex.org/S11622463","Journal of Biomedical Informatics","1532-0464",34
"https://openalex.org/S10936095","IEEE Transactions on Vehicular Technology","0018-9545",34
"https://openalex.org/S2764999920","International Journal of Machine Learning and Cybernetics","1868-8071",34
"https://openalex.org/S4210209078","IEEE Transactions on Systems Man and Cybernetics Systems","2168-2216",34
"https://openalex.org/S4210193547","Proceedings of the ACM on Measurement and Analysis of Computing Systems","2476-1249",33
"https://openalex.org/S68913162","Journal of Information Science","0165-5515",32
"https://openalex.org/S189694085","IEEE Sensors Journal","1530-437X",32
"https://openalex.org/S36029991","IEEE/ACM Transactions on Computational Biology and Bioinformatics","1545-5963",32
"https://openalex.org/S107925523","Journal of Combinatorial Optimization","1382-6905",32
"https://openalex.org/S4210201220","Frontiers in Big Data","2624-909X",32
"https://openalex.org/S27924493","SIGSPATIAL Special","1946-7729",32
"https://openalex.org/S4210221503","IEEE sensors journal","2379-9153",32
"https://openalex.org/S145159096","International Journal of Web Information Systems","1744-0084",32
"https://openalex.org/S198098182","Energies","1996-1073",32
"https://openalex.org/S90422530","IEEE Journal on Selected Areas in Communications","0733-8716",32
"https://openalex.org/S72232612","Expert Systems","0266-4720",31
"https://openalex.org/S181659395","Information Systems Frontiers","1387-3326",31
"https://openalex.org/S2483380313","ACM Transactions on Parallel Computing","2329-4949",31
"https://openalex.org/S4210192150","Data-centric systems and applications","2197-9723",30
"https://openalex.org/S52395412","Bioinformatics","1367-4803",29
"https://openalex.org/S196139623","Artificial Intelligence","0004-3702",29
"https://openalex.org/S136160450","ACM Transactions on Embedded Computing Systems","1539-9087",29
"https://openalex.org/S137030581","IEEE Transactions on Multimedia","1520-9210",29
"https://openalex.org/S112708030","Parallel Computing","0167-8191",29
"https://openalex.org/S4210183893","Proceedings of the ACM on Human-Computer Interaction","2573-0142",29
"https://openalex.org/S4210183172","Proceedings on Privacy Enhancing Technologies","2299-0984",28
"https://openalex.org/S4210189857","Frontiers of Information Technology & Electronic Engineering","2095-9184",28
"https://openalex.org/S166774750","Scientific Programming","1058-9244",28
"https://openalex.org/S170502224","ACM Transactions on Sensor Networks","1550-4859",28
"https://openalex.org/S140982614","Pervasive and Mobile Computing","1574-1192",28
"https://openalex.org/S95999327","IEEE Systems Journal","1932-8184",27
"https://openalex.org/S2486819371","Journal of Cloud Computing Advances Systems and Applications","2192-113X",27
"https://openalex.org/S4210191605","Computers, materials & continua/Computers, materials & continua (Print)","1546-2218",27
"https://openalex.org/S4210173728","Lecture notes in social networks","2190-5428",27
"https://openalex.org/S64417657","International Journal of Distributed Sensor Networks","1550-1329",26
"https://openalex.org/S67831204","Computer Graphics Forum","0167-7055",26
"https://openalex.org/S112809824","ACM Transactions on Reconfigurable Technology and Systems","1936-7406",26
"https://openalex.org/S4210175725","Computer communications and networks","1617-7975",26
"https://openalex.org/S859791518","Transactions in GIS","1361-1682",25
"https://openalex.org/S140218187","Journal of Grid Computing","1570-7873",25
"https://openalex.org/S4210169894","Advances in systems analysis, software engineering, and high performance computing book series","2327-3453",25
"https://openalex.org/S4210185304","Arabian Journal for Science and Engineering","2191-4281",25
"https://openalex.org/S4210238752","Big Data and Cognitive Computing","2504-2289",25
"https://openalex.org/S53932126","International Journal of Data Warehousing and Mining","1548-3924",25
"https://openalex.org/S177487720","Peer-to-Peer Networking and Applications","1936-6442",25
"https://openalex.org/S4210219751","Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies","2474-9567",25
"https://openalex.org/S4210210208","Advances in computer and electrical engineering book series","2327-039X",24
"https://openalex.org/S4210212400","Intelligent systems reference library","1868-4394",24
"https://openalex.org/S201104086","ACM Journal of Experimental Algorithmics","1084-6654",24
"https://openalex.org/S68686220","Proceedings of the IEEE","0018-9219",23
"https://openalex.org/S43295729","Remote Sensing","2072-4292",23
"https://openalex.org/S3035517252","Applied Network Science","2364-8228",23
"https://openalex.org/S19032547","BMC Bioinformatics","1471-2105",23
"https://openalex.org/S142627899","ACM Transactions on Software Engineering and Methodology","1049-331X",23
"https://openalex.org/S33368595","International Journal of Approximate Reasoning","0888-613X",23
"https://openalex.org/S4210197613","Journal of the Association for Information Science and Technology","2330-1635",23
"https://openalex.org/S118992489","Journal of the ACM","0004-5411",22
"https://openalex.org/S4210176598","ACM SIGKDD Explorations Newsletter","1931-0145",22
"https://openalex.org/S196821226","Computers & Industrial Engineering","0360-8352",22
"https://openalex.org/S152111507","Mobile Information Systems","1574-017X",22
"https://openalex.org/S121340289","Computers & Electrical Engineering","0045-7906",22
"https://openalex.org/S4210239267","Journal of Information Processing","1882-6652",22
"https://openalex.org/S73121659","Computer Science Review","1574-0137",21
"https://openalex.org/S4210180746","Advances in computational intelligence and robotics book series","2327-042X",21
"https://openalex.org/S4210185969","ACM/IMS Transactions on Data Science","2577-3224",21
"https://openalex.org/S129839026","Journal of the American Medical Informatics Association","1067-5027",21
"https://openalex.org/S193109227","ACM Transactions on Computer Systems","0734-2071",21
"https://openalex.org/S57950554","International Journal of Intelligent Systems","0884-8173",21
"https://openalex.org/S126824455","IEEE Transactions on Consumer Electronics","0098-3063",21
"https://openalex.org/S205498627","Wireless Networks","1022-0038",20
"https://openalex.org/S4210210251","IEEE Transactions on Emerging Topics in Computational Intelligence","2471-285X",20
"https://openalex.org/S59670734","Theory and Practice of Logic Programming","1471-0684",20
"https://openalex.org/S4210189194","IOP Conference Series Materials Science and Engineering","1757-8981",20
"https://openalex.org/S3035462843","Complex & Intelligent Systems","2199-4536",20
"https://openalex.org/S112141509","Advanced Engineering Informatics","1474-0346",20
"https://openalex.org/S192071280","Journal of Computational Science","1877-7503",20
"https://openalex.org/S66039016","ACM SIGCOMM Computer Communication Review","0146-4833",20
"https://openalex.org/S67425620","Advanced materials research","1022-6680",19
"https://openalex.org/S196647941","IEEE Transactions on Communications","0090-6778",19
"https://openalex.org/S192894947","Mobile Networks and Applications","1383-469X",19
"https://openalex.org/S89324355","Algorithmica","0178-4617",19
"https://openalex.org/S73024538","Journal of Database Management","1063-8016",19
"https://openalex.org/S2495854775","IEEE Journal of Biomedical and Health Informatics","2168-2194",19
"https://openalex.org/S4306425600","Transactions on Emerging Telecommunications Technologies","2161-3915",19
"https://openalex.org/S64511102","Transportation Research Part C Emerging Technologies","0968-090X",19
"https://openalex.org/S117727964","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","1939-1404",19
"https://openalex.org/S4210190911","CCF Transactions on High Performance Computing","2524-4922",18
"https://openalex.org/S4210168370","Advances in information security, privacy, and ethics book series","1948-9730",18
"https://openalex.org/S164062316","International Journal of Information Security","1615-5262",18
"https://openalex.org/S4210173141","IEEE Transactions on Image Processing","1057-7149",18
"https://openalex.org/S40788348","Statistical Analysis and Data Mining The ASA Data Science Journal","1932-1864",18
"https://openalex.org/S169174478","Journal on Data Semantics","1861-2032",18
"https://openalex.org/S2898405271","IFAC-PapersOnLine","2405-8963",18
"https://openalex.org/S4210195883","IOP Conference Series Earth and Environmental Science","1755-1315",17
"https://openalex.org/S131442419","International Journal of Software Engineering and Knowledge Engineering","0218-1940",17
"https://openalex.org/S107516304","BMC Medical Informatics and Decision Making","1472-6947",17
"https://openalex.org/S91767247","Briefings in Bioinformatics","1467-5463",17
"https://openalex.org/S58126648","Personal and Ubiquitous Computing","1617-4909",17
"https://openalex.org/S178916657","Computer","0018-9162",17
"https://openalex.org/S72372694","Computational Intelligence and Neuroscience","1687-5265",16
"https://openalex.org/S4210210572","Wireless networks","2366-1445",16
"https://openalex.org/S205010575","Information and Software Technology","0950-5849",16
"https://openalex.org/S11479521","Decision Support Systems","0167-9236",16
"https://openalex.org/S4210191536","Journal of Information Security and Applications","2214-2126",16
"https://openalex.org/S137348503","ACM Transactions on Algorithms","1549-6325",16
"https://openalex.org/S4210223252","EAI/Springer Innovations in Communication and Computing","2522-8595",16
"https://openalex.org/S24978797","Tsinghua Science & Technology","1007-0214",16
"https://openalex.org/S4210169448","IEEE Transactions on Artificial Intelligence","2691-4581",15
"https://openalex.org/S4210223273","International Journal of Information Technology","2511-2104",15
"https://openalex.org/S4210226731","Big Data","2167-6461",15
"https://openalex.org/S41486457","International Journal of Pattern Recognition and Artificial Intelligence","0218-0014",15
"https://openalex.org/S4210170305","ACM Transactions on Management Information Systems","2158-656X",15
"https://openalex.org/S56561474","Computational Intelligence","0824-7935",15
"https://openalex.org/S4210210321","Proceedings - International Conference on Data Engineering","1084-4627",15
"https://openalex.org/S4210186983","Springer optimization and its applications","1931-6828",15
"https://openalex.org/S90199469","Annals of Mathematics and Artificial Intelligence","1012-2443",15
"https://openalex.org/S19610489","ACM Transactions on Multimedia Computing Communications and Applications","1551-6857",15
"https://openalex.org/S2898299116","Online Social Networks and Media","2468-6964",15
"https://openalex.org/S4210177528","Ad Hoc Networks","1570-8705",15
"https://openalex.org/S4210225011","Advances in business information systems and analytics book series","2327-3275",15
"https://openalex.org/S4210228075","Computers","2073-431X",15
"https://openalex.org/S110615584","International Journal on Digital Libraries","1432-1300",14
"https://openalex.org/S68749858","Transactions of the Japanese Society for Artificial Intelligence","1346-0714",14
"https://openalex.org/S114739668","Simulation Modelling Practice and Theory","1569-190X",14
"https://openalex.org/S45584542","Queue","1542-7730",14
"https://openalex.org/S205292342","Journal of Informetrics","1751-1577",14
"https://openalex.org/S186584794","IEEE Network","0890-8044",14
"https://openalex.org/S181240966","International Journal on Semantic Web and Information Systems","1552-6283",14
"https://openalex.org/S109852484","Empirical Software Engineering","1382-3256",14
"https://openalex.org/S2506067282","SoftwareX","2352-7110",14
"https://openalex.org/S4210202865","ACM SIGAPP Applied Computing Review","1559-6915",14
"https://openalex.org/S153560523","SIAM Journal on Computing","0097-5397",14
"https://openalex.org/S134177497","IEEE Transactions on Fuzzy Systems","1063-6706",14
"https://openalex.org/S10892749","IEEE Transactions on Instrumentation and Measurement","0018-9456",14
"https://openalex.org/S2738238905","Informatics","2227-9709",14
"https://openalex.org/S4210209060","Big Data Mining and Analytics","2096-0654",14
"","","2097-406X",14
"https://openalex.org/S147316732","IEEE Communications Letters","1089-7798",14
"https://openalex.org/S119630662","Computer Standards & Interfaces","0920-5489",14
"https://openalex.org/S206939107","Computer Science and Information Systems","1820-0214",14
"https://openalex.org/S4210231956","ACM Transactions on Modeling and Performance Evaluation of Computing Systems","2376-3639",14
"https://openalex.org/S79460864","Information Retrieval","1386-4564",14
"https://openalex.org/S44278595","Computers in Biology and Medicine","0010-4825",14
"https://openalex.org/S4210201508","Scientia Sinica Informationis","1674-7267",14
"https://openalex.org/S87725633","IEEE Transactions on Reliability","0018-9529",13
"https://openalex.org/S60606485","The International Journal of High Performance Computing Applications","1094-3420",13
"https://openalex.org/S133078663","Cognitive Computation","1866-9956",13
"https://openalex.org/S4210188109","Big data management","2522-0179",13
"https://openalex.org/S29243050","The Scientific World JOURNAL","1537-744X",13
"https://openalex.org/S4210196277","Hans Journal of Data Mining","2163-1468",13
"https://openalex.org/S4210200847","International Journal of Scientific Research in Computer Science Engineering and Information Technology","2456-3307",13
"https://openalex.org/S115173108","IEEE Transactions on Circuits and Systems for Video Technology","1051-8215",13
"https://openalex.org/S189354248","International Journal of Information Management","0268-4012",13
"https://openalex.org/S4210170441","Service Oriented Computing and Applications","1863-2394",13
"https://openalex.org/S60115552","Computers Environment and Urban Systems","0198-9715",13
"https://openalex.org/S204030396","Computers in Human Behavior","0747-5632",13
"https://openalex.org/S82675988","EURASIP Journal on Wireless Communications and Networking","1687-1472",13
"https://openalex.org/S63459445","IEEE Transactions on Wireless Communications","1536-1276",13
"https://openalex.org/S4210174050","ACM Transactions on Privacy and Security","2471-2566",12
"https://openalex.org/S59697426","IEEE Micro","0272-1732",12
"https://openalex.org/S64245694","Software & Systems Modeling","1619-1366",12
"https://openalex.org/S2495769766","Digital Communications and Networks","2352-8648",12
"https://openalex.org/S4210174276","Internet of Things","2542-6605",12
"https://openalex.org/S2493627025","IEICE Transactions on Communications","0916-8516",12
"https://openalex.org/S64187185","Nature Communications","2041-1723",12
"https://openalex.org/S2764804224","Computer Science and Application","2161-8801",12
"https://openalex.org/S17147534","Journal of Medical Internet Research","1438-8871",12
"https://openalex.org/S85375271","International Journal of Parallel Emergent and Distributed Systems","1744-5760",12
"https://openalex.org/S4210226510","Data","2306-5729",12
"https://openalex.org/S160628929","User Modeling and User-Adapted Interaction","0924-1868",12
"https://openalex.org/S4210201727","International Journal of Semantic Computing","1793-7108",12
"https://openalex.org/S183285281","Advances in computers","0065-2458",12
"https://openalex.org/S4210219925","IBM Journal of Research and Development","0018-8646",12
"https://openalex.org/S2531583244","Journal of Complex Networks","2051-1310",12
"https://openalex.org/S150218641","Programming and Computer Software","0361-7688",12
"https://openalex.org/S4210221417","IEEE Transactions on Sustainable Computing","2377-3782",12
"https://openalex.org/S1250476","Journal of Internet Services and Applications","1867-4828",12
"https://openalex.org/S109565702","Applied Energy","0306-2619",12
"https://openalex.org/S187709482","Electronic Commerce Research and Applications","1567-4223",12
"https://openalex.org/S195663827","Microprocessors and Microsystems","0141-9331",12
"https://openalex.org/S4210187768","Human-computer interaction series","1571-5035",12
"https://openalex.org/S2898612692","Heliyon","2405-8440",12
"https://openalex.org/S111326731","IEEE Transactions on Geoscience and Remote Sensing","0196-2892",12
"https://openalex.org/S4210205892","ACM SIGWEB Newsletter","1931-1435",12
"https://openalex.org/S207089700","International Journal of Information Technology & Decision Making","1793-6845",11
"https://openalex.org/S165318533","INFORMS journal on computing","1091-9856",11
"https://openalex.org/S4210195431","npj Digital Medicine","2398-6352",11
"https://openalex.org/S4210197590","Advances in information security","1568-2633",11
"https://openalex.org/S138959710","Computer Methods and Programs in Biomedicine","0169-2607",11
"https://openalex.org/S2607323502","Scientific Data","2052-4463",11
"https://openalex.org/S4210172359","Journal of Software Evolution and Process","2047-7473",11
"https://openalex.org/S168680287","IEEE Transactions on Signal Processing","1053-587X",11
"https://openalex.org/S17147961","International Journal of Cooperative Information Systems","0218-8430",11
"https://openalex.org/S112262039","Multimedia Systems","0942-4962",11
"https://openalex.org/S165559636","International Journal of Human-Computer Interaction","1044-7318",11
"https://openalex.org/S169411308","Fuzzy Sets and Systems","0165-0114",11
"https://openalex.org/S163634330","Sustainable Cities and Society","2210-6707",11
"https://openalex.org/S87797848","International Journal of Computers and Applications","1206-212X",11
"https://openalex.org/S4210225516","Synthesis lectures on data mining and knowledge discovery","2151-0067",11
"https://openalex.org/S161464388","Journal of Intelligent Manufacturing","0956-5515",10
"https://openalex.org/S4210228149","Data analytics","2520-1859",10
"https://openalex.org/S175310385","International Journal of Communication Systems","1074-5351",10
"https://openalex.org/S4210175061","MATEC Web of Conferences","2261-236X",10
"https://openalex.org/S204585504","International Journal of Network Management","1055-7148",10
"https://openalex.org/S4210229206","Studies in fuzziness and soft computing","1434-9922",10
"https://openalex.org/S93916849","IEEE Transactions on Circuits & Systems II Express Briefs","1549-7747",10
"https://openalex.org/S75054922","Journal of Advanced Transportation","0197-6729",10
"https://openalex.org/S4210188800","Connection Science","0954-0091",10
"https://openalex.org/S201698446","Journal of Manufacturing Systems","0278-6125",10
"https://openalex.org/S4393920011","The information retrieval series","2949-8066",10
"https://openalex.org/S4387284325","ACM Transactions on Recommender Systems","2770-6699",10
"https://openalex.org/S4210217390","Algorithms for intelligent systems","2524-7565",10
"https://openalex.org/S125754415","Proceedings of the National Academy of Sciences","0027-8424",10
"https://openalex.org/S61699894","Computers & Geosciences","0098-3004",10
"https://openalex.org/S67072002","Journal of Network and Systems Management","1064-7570",10
"https://openalex.org/S41449414","ACM Transactions on Programming Languages and Systems","0164-0925",10
"https://openalex.org/S4210213891","Machine Learning and Knowledge Extraction","2504-4990",10
"https://openalex.org/S103321696","European Journal of Operational Research","0377-2217",10
"https://openalex.org/S4306422866","IEEE Transactions on Signal and Information Processing over Networks","2373-776X",10
"https://openalex.org/S4210201501","The Springer international series on information retrieval","1871-7500",10
"https://openalex.org/S45003570","Performance Evaluation","0166-5316",10
"https://openalex.org/S205929853","Electronic Commerce Research","1389-5753",10
"https://openalex.org/S78571599","Journal of Computational Biology","1066-5277",10
"https://openalex.org/S2764650051","JMIR Medical Informatics","2291-9694",10
"https://openalex.org/S39307421","Technological Forecasting and Social Change","0040-1625",10
"https://openalex.org/S2898565713","Procedia CIRP","2212-8271",10
"https://openalex.org/S116775814","Computers and Electronics in Agriculture","0168-1699",9
"https://openalex.org/S4210229153","it - Information Technology","1611-2776",9
"https://openalex.org/S16632050","ACM Transactions on Autonomous and Adaptive Systems","1556-4665",9
"https://openalex.org/S91713211","Wuhan University Journal of Natural Sciences","1007-1202",9
"https://openalex.org/S53142634","International Journal of Medical Informatics","1386-5056",9
"https://openalex.org/S4210191458","Proceedings of the AAAI Conference on Artificial Intelligence","2159-5399",9
"https://openalex.org/S4210221551","Learning and analytics in intelligent systems","2662-3447",9
"https://openalex.org/S17643076","IEEE Computer Architecture Letters","1556-6056",9
"https://openalex.org/S123849098","Behaviour and Information Technology","0144-929X",9
